compound_set,grouping,predictor,n_features,n_increase,n_decrease,median_coef,median_coef_background,p_KS,q_KS,p_wilcox,q_wilcox,p_sign,q_sign
Pyridines and derivatives,Class,WT_drawdown,22,6,16,-0.11243464292211186,-0.14200634719044014,0.021513780703809715,0.04063714132941835,0.3488623876329735,0.4393081918341148,1,1
Piperidines,Class,WT_drawdown,19,7,12,-0.044765037847942626,-0.14248341304062373,0.03264430374743199,0.058416122495404614,0.3838003203029312,0.45319002235525485,0.6166747104918109,0.776553339137836
Hydroxy acids and derivatives,Class,WT_drawdown,8,5,3,0.03874446914286543,-0.14200634719044014,0.3861751491473159,0.48629463225958297,0.3865444308324233,0.45319002235525485,0.057215697422191666,0.21614819026161294
Cinnamic acids and derivatives,Class,WT_drawdown,17,4,13,-0.17661278904721645,-0.14118176848306208,0.021271681885567273,0.04063714132941835,0.7942809790944549,0.9001851096403822,0.7920297294068702,0.8686777677365672
2-arylbenzofuran flavonoids,Class,WT_drawdown,9,1,8,-0.10554800601580029,-0.14299570001713818,0.004390916546488044,0.010663654470042392,0.9053547885711193,0.9739456536364508,0.29384273801884775,0.45412059512003744
Phenols,Class,WT_drawdown,13,3,10,-0.126735309733875,-0.14161210753904455,0.8129382033136123,0.8375726943231158,0.9166547328343067,0.9739456536364508,0.7661598746678131,0.8683145246235215
Quinolines and derivatives,Class,WT_drawdown,11,4,7,-0.16585298553512146,-0.14118176848306208,0.003380891076121384,0.009579191382343921,0.9846579023134954,0.9927323431826829,0.7432736987177218,0.8683145246235215
"Linear 1,3-diarylpropanoids",Class,WT_drawdown,11,3,8,-0.06450362695654205,-0.14161210753904455,0.4939918621698388,0.5791628728887764,0.9927323431826829,0.9927323431826829,1,1
Phenolic - Multi-ring,Phenolic ring count,Temp_avg_top,153,99,54,0.07550531462329996,0.0774923384411095,0.0013926250590375682,0.0027852501180751364,0.8212884940198004,0.8212884940198004,0.4901671658558324,0.5762344486483785
Phenolic - Single-ring,Phenolic ring count,Temp_avg_top,126,85,41,0.0774923384411095,0.07550531462329996,0.03683156650919884,0.03683156650919884,0.8212884940198004,0.8212884940198004,0.5762344486483785,0.5762344486483785
Phenolic - Multi-ring,Phenolic ring count,WT_drawdown,153,64,89,-0.08192463491957105,-0.028618037868571276,8.396613456108147e-6,1.6793226912216295e-5,0.6002158800777844,0.6002158800777844,0.9345959434434811,0.9345959434434811
Phenolic - Single-ring,Phenolic ring count,WT_drawdown,126,52,74,-0.028618037868571276,-0.08192463491957105,0.009491813573516394,0.009491813573516394,0.6002158800777844,0.6002158800777844,0.9282549036127163,0.9345959434434811
Organic acids and derivatives,Superclass,Temp_avg_top,349,127,222,-0.06952341463502935,0.06313972002750874,0.6331877446953369,0.6907502669403675,5.005586931543459e-12,6.006704317852151e-11,1.3217448682528862e-23,1.5860938419034636e-22
Alkaloids and derivatives,Superclass,Temp_avg_top,25,21,4,0.137252142525554,0.039746882965218874,2.716256306004583e-4,0.0032595075672054996,0.0025953330231496263,0.015571998138897758,0.0073413232824414455,0.029365293129765782
Organoheterocyclic compounds,Superclass,Temp_avg_top,267,169,98,0.0603880931874052,0.037820729438488326,0.019545083484858353,0.07818033393943341,0.014299606716304147,0.047602869837389816,0.013631155633097473,0.032714773519433936
Lipids and lipid-like molecules,Superclass,Temp_avg_top,410,262,148,0.0633713070482183,0.028179299246691145,0.1573643705486099,0.3147287410972198,0.01586762327912994,0.047602869837389816,1.5734486865375848e-4,9.440692119225509e-4
"Lignans, neolignans and related compounds",Superclass,Temp_avg_top,8,8,0,0.1418980481535611,0.04069049243505772,0.9298101614912162,0.9298101614912162,0.021051997190654204,0.05052479325757009,0.01206304603731618,0.032714773519433936
